Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--1,--1,--,--,--1,--,--1,--,--,--,--,--,--,--1,--1,--,--,--,--1,--,--,--,--3,--,--,--,--,--,--,--,--,--,--1,--,--,--11
One,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--1
Two,--,--,--,--1,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
Three,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--,--,--,--2,--,--,--1,--1,--,--1,--,--,--,--,--,--,--,--1,--,--,--8
Four,--,--,--1,--,--1,--,--,--,--,--,--,--,--,--,--1,--,--,--1,--,--,--,--,--2,--,--,--1,--,--,--,--,--,--,--1,--1,--,--,--9
Five,--,--1,--,--1,--,--1,--,--,--2,--1,--,--,--,--,--1,--,--,--,--,--,--1,--,--1,--4,--,--3,--,--,--,--,--,--2,--,--1,--,--1,--20
Six,--1,--,--3,--,--1,--,--,--,--3,--,--,--1,--,--,--1,--1,--5,--1,--,--,--,--3,--,--2,--,--4,--,--,--,--,--,--,--,--4,--,--,--30
Seven,--1,--,--4,--,--,--1,--,--,--2,--,--,--,--,--,--2,--,--,--1,--,--3,--,--1,--,--3,--1,--5,--,--,--3,--,--1,--,--,--5,--,--,--33
Eight,--,--,--1,--,--1,--,--,--,--1,--1,--,--,--,--,--4,--1,--,--3,--,--1,--,--,--,--3,--1,--9,--,--,--,--1,--1,--,--,--6,--,--,--34
Nine,--1,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--1,--,--,--,--2,--,--2,--,--,--,--,--,--,--,--5,--,--,--13
Ten,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--1,--,--1,--,--,--,--,--,--1,--,--3,--,--,--,--4,--,--,--,--1,--,--,--12
