Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--1,--1,--,--2,--,--1,--,--,--,--,--,--,--2,--1,--,--,--,--1,--,--,--,--2,--,--,--,--,--,--5,--,--,--,--,--,--,--16
One,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--,--,--,--,--,--,--,--1,--,--,--4
Two,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--2,--,--,--5
Three,--,--,--2,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--1,--,--2,--,--,--,--1,--,--2,--,--,--,--,--,--2,--,--1,--,--1,--13
Four,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--2,--,--,--,--,--,--,--,--1,--,--,--1,--,--,--,--,--,--,--,--4,--,--,--9
Five,--,--1,--,--1,--1,--,--,--,--1,--1,--,--,--,--,--2,--,--,--2,--,--2,--,--,--,--1,--,--3,--,--,--,--,--,--,--,--7,--,--1,--23
Six,--,--,--2,--,--,--,--,--,--,--,--,--,--1,--,--,--1,--,--1,--,--1,--,--,--1,--4,--,--6,--,--,--1,--,--,--,--1,--,--,--,--19
Seven,--3,--,--,--,--1,--,--,--,--3,--,--,--1,--,--,--2,--,--,--,--,--,--,--,--1,--2,--,--4,--,--,--,--,--1,--,--,--2,--,--,--20
Eight,--,--,--5,--,--1,--,--,--,--3,--,--,--,--,--,--1,--2,--5,--1,--,--1,--1,--,--,--6,--,--7,--,--,--,--,--1,--,--,--4,--,--,--38
Nine,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--1,--1,--,--1,--,--1,--,--,--,--,--,--2,--,--,--,--,--,--,--,--2,--,--,--9
Ten,--,--,--,--,--,--,--,--,--1,--1,--,--,--,--,--,--,--,--1,--,--,--,--4,--,--3,--,--3,--,--,--2,--,--,--,--,--2,--,--,--17
