Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--1,--,--,--1,--,--,--,--,--,--,--,--,--1,--1,--,--,--,--,--,--,--,--2,--,--,--,--,--,--,--,--,--,--2,--,--,--8
One,--,--1,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
Two,--,--,--,--,--,--,--,--,--1,--1,--,--,--,--,--,--,--,--,--,--1,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--4
Three,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--1,--,--2,--1,--,--,--,--,--3,--,--,--,--,--,--,--,--,--,--,--9
Four,--,--,--2,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--1,--,--,--1,--,--,--2,--,--,--,--,--,--,--,--3,--,--1,--11
Five,--,--,--,--,--,--1,--,--,--4,--,--,--,--1,--,--2,--,--,--1,--,--1,--,--,--1,--6,--,--3,--,--,--,--,--,--,--,--4,--,--,--24
Six,--1,--,--4,--,--,--,--,--,--1,--,--,--1,--,--,--,--1,--5,--,--,--,--,--,--,--2,--,--4,--,--,--,--,--,--,--1,--1,--,--1,--22
Seven,--,--,--1,--1,--1,--,--,--,--2,--,--,--,--,--,--4,--,--,--3,--,--,--,--1,--2,--2,--,--5,--,--,--,--,--2,--,--,--10,--,--,--34
Eight,--,--,--3,--,--2,--,--,--,--,--,--,--,--,--,--2,--1,--,--1,--,--2,--,--2,--,--6,--1,--5,--,--,--1,--,--,--,--,--2,--,--,--28
Nine,--2,--,--,--,--,--1,--,--1,--1,--,--,--,--,--,--1,--1,--,--,--,--1,--,--,--,--,--1,--4,--,--,--,--,--,--2,--,--2,--,--,--17
Ten,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--1,--,--1,--,--,--,--1,--,--,--,--2,--,--,--2,--5,--,--,--,--1,--,--,--14
