Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
One,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1
Two,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2,--,--,--3
Three,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--2,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--4
Four,--,--,--1,--,--,--,--,--,--2,--,--,--,--,--,--1,--,--,--,--,--1,--,--,--1,--,--,--2,--,--,--,--,--,--,--,--1,--,--,--9
Five,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--,--1,--4,--,--2,--,--,--,--,--,--,--,--1,--,--,--11
Six,--,--,--1,--,--1,--1,--,--,--3,--,--,--,--,--,--2,--1,--5,--1,--,--1,--,--,--,--2,--1,--5,--,--,--,--,--,--,--,--4,--,--1,--29
Seven,--1,--,--5,--,--,--,--,--,--,--,--,--,--,--,--2,--,--,--1,--,--,--1,--1,--1,--3,--1,--1,--,--,--3,--,--,--,--,--4,--,--1,--25
Eight,--,--1,--3,--1,--2,--,--,--,--3,--1,--,--,--,--,--2,--1,--,--2,--,--2,--,--3,--1,--8,--,--9,--,--,--,--,--1,--,--,--5,--,--,--45
Nine,--2,--,--,--,--,--1,--,--,--,--,--,--1,--,--,--2,--1,--,--1,--,--,--,--,--,--2,--,--6,--,--,--,--,--1,--,--1,--3,--,--,--21
Ten,--,--,--1,--,--,--,--,--1,--1,--,--,--,--,--,--1,--1,--,--1,--,--2,--,--,--,--,--,--3,--,--,--,--5,--,--2,--,--5,--,--,--23
