Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--1,--,--,--,--1,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--4
Two,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--2
Three,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--2,--,--,--,--,--,--,--,--,--,--,--4
Four,--,--,--2,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--4
Five,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--3,--,--,--,--,--2,--,--,--2,--,--,--1,--,--,--,--,--,--,--,--1,--,--,--10
Six,--,--,--2,--,--,--,--,--1,--2,--1,--,--,--,--,--,--1,--,--1,--,--,--,--,--1,--1,--,--5,--,--,--,--,--,--,--,--3,--,--2,--20
Seven,--,--,--2,--,--,--,--,--,--3,--,--,--1,--,--,--1,--,--5,--1,--,--1,--,--,--1,--4,--,--2,--,--,--,--,--,--,--,--2,--,--,--23
Eight,--1,--,--3,--1,--1,--1,--,--,--3,--,--,--,--,--,--2,--2,--,--3,--,--,--1,--,--,--3,--1,--9,--,--,--1,--,--1,--,--1,--7,--,--,--41
Nine,--2,--,--1,--,--,--,--,--,--,--,--,--,--,--,--1,--1,--,--1,--,--1,--,--,--,--2,--1,--3,--,--,--,--,--1,--2,--,--5,--,--,--21
Ten,--,--2,--,--,--2,--,--,--,--1,--1,--,--,--,--,--5,--,--,--1,--,--2,--,--4,--,--7,--,--5,--,--,--2,--5,--,--,--,--7,--,--,--44
