Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--1,--,--,--,--,--,--,--,--1,--,--1,--,--,--,--,--,--,--1,--,--,--,--5
One,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--1
Two,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1
Three,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--1,--,--,--1,--1,--,--1,--,--,--,--,--,--,--,--,--,--,--5
Four,--,--,--,--1,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--1,--1,--,--1,--,--,--,--,--,--,--,--1,--,--,--6
Five,--,--,--1,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--6,--1,--3,--,--,--,--,--,--,--,--3,--,--,--15
Six,--,--,--4,--,--,--,--,--1,--2,--1,--,--,--,--,--1,--1,--,--1,--,--,--,--,--1,--1,--,--4,--,--,--,--,--,--,--,--3,--,--2,--22
Seven,--2,--,--2,--,--,--1,--,--,--4,--,--,--,--,--,--5,--1,--5,--1,--,--,--,--3,--,--3,--,--7,--,--,--1,--,--1,--2,--,--6,--,--,--44
Eight,--,--2,--1,--,--3,--1,--,--,--2,--,--,--,--,--,--3,--1,--,--3,--,--3,--1,--1,--,--3,--,--6,--,--,--2,--,--1,--,--,--7,--,--,--40
Nine,--1,--,--3,--,--,--1,--,--,--,--,--,--,--,--,--1,--1,--,--1,--,--2,--,--,--1,--1,--,--2,--,--,--,--,--,--,--,--3,--,--,--17
Ten,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--,--1,--,--,--1,--,--1,--,--,--,--2,--1,--2,--,--,--,--5,--,--,--,--2,--,--,--17
