Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--1,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--1,--4
Two,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--1
Three,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
Four,--,--,--1,--,--,--1,--,--,--,--1,--,--,--,--,--1,--,--,--,--,--,--,--,--2,--1,--,--,--,--,--,--,--,--2,--,--2,--,--,--11
Five,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--2,--,--,--1,--2,--,--5,--,--,--,--,--,--,--,--1,--,--,--12
Six,--,--,--3,--,--,--,--,--,--2,--,--,--,--,--,--1,--1,--5,--1,--,--,--,--,--,--,--,--2,--,--,--,--,--,--,--,--2,--,--1,--18
Seven,--1,--1,--3,--,--,--,--,--,--4,--,--,--,--,--,--1,--,--,--1,--,--,--1,--,--,--5,--,--5,--,--,--,--,--,--,--,--4,--,--,--26
Eight,--1,--1,--3,--1,--1,--,--,--1,--,--,--,--1,--1,--,--2,--2,--,--2,--,--1,--,--,--1,--2,--,--6,--,--,--1,--,--1,--,--,--4,--,--,--32
Nine,--,--,--1,--,--,--2,--,--,--2,--,--,--,--,--,--2,--1,--,--1,--,--3,--,--,--,--4,--2,--2,--,--,--,--,--,--,--1,--4,--,--,--25
Ten,--1,--,--,--,--2,--,--,--,--1,--1,--,--,--,--,--3,--,--,--2,--,--1,--,--4,--,--4,--,--7,--,--,--2,--5,--1,--,--,--8,--,--,--42
