Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
Two,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--1
Three,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--2
Four,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--3,--,--,--,--,--,--,--,--,--,--1,--4
Five,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--1,--,--1,--,--,--,--1,--,--1,--,--,--,--,--,--,--,--1,--,--,--6
Six,--,--,--,--1,--,--,--,--,--1,--,--,--,--,--,--1,--1,--,--,--,--,--,--,--,--1,--,--1,--,--,--,--,--,--,--1,--1,--,--,--8
Seven,--,--,--1,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--,--1,--,--,--,--,--3,--2,--,--5,--,--,--,--,--,--,--,--2,--,--,--16
Eight,--1,--,--2,--,--3,--1,--,--,--4,--,--,--,--,--,--1,--2,--,--2,--,--3,--1,--1,--1,--3,--,--7,--,--,--3,--,--,--,--,--10,--,--,--45
Nine,--2,--,--3,--1,--,--2,--,--1,--4,--,--,--,--,--,--3,--1,--5,--2,--,--1,--,--,--,--,--1,--3,--,--,--,--,--2,--,--,--2,--,--,--33
Ten,--,--1,--5,--,--,--,--,--,--,--1,--,--1,--,--,--6,--,--,--1,--,--2,--,--3,--,--11,--1,--7,--,--,--,--5,--,--2,--,--9,--,--1,--56
