Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
Two,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1
Three,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1
Four,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
Five,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--2,--,--,--,--,--1,--,--,--1,--1,--,--2,--,--,--,--,--,--,--,--,--,--,--8
Six,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--2,--,--4,--,--,--,--,--1,--,--,--2,--,--,--10
Seven,--,--,--1,--,--,--1,--,--,--2,--1,--,--,--,--,--,--,--5,--,--,--,--,--,--,--3,--1,--3,--,--,--,--,--1,--,--,--2,--,--,--20
Eight,--1,--1,--2,--1,--,--,--,--,--3,--1,--,--,--,--,--2,--1,--,--1,--,--,--,--4,--1,--2,--,--2,--,--,--3,--,--,--,--,--3,--,--1,--29
Nine,--1,--,--5,--,--,--1,--,--,--3,--,--,--1,--,--,--3,--1,--,--3,--,--2,--,--,--,--3,--1,--6,--,--,--,--,--,--,--1,--7,--,--1,--39
Ten,--1,--1,--3,--,--3,--,--,--1,--1,--,--,--,--,--,--4,--1,--,--3,--,--4,--1,--,--1,--8,--,--11,--,--,--,--5,--,--2,--,--11,--,--,--61
