Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1-,--1,--,-1-1,--,-2-,--,--,-1-,--,--,-1-,--,--,--,--,--,--,--,--,--,--,-6-2
Two,--,--,--,--,--,--,--,--,--,--1,--,--,--,-1-,-2-,--,--,-1-,--,--,--,--,--1,-1-,--,--,--,--,--,--,--,--,--,--,--,-1-,-6-2
Three,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
Four,--,1-2-,--,--,--,-1-,--,--,--,--,--,--,-1-1,--,1--,--,--,--,--,1-1-,-1-,1--,-1-1,2-5-,--,--,1--,--,--,-1-,-1-,--,--,1-1-,--,--,8-15-2
Five,--,--1,--,--1,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--1,--,--2,--,--,--,--,--,--,--,--,--,--,--6
Six,1-1-,3-1-,4-1-1,--,-1-,--,--,--,1-26-1,1-3-,1--,2-2-,--,--,2-3-,--,--,3-3-,-1-,3-3-,-1-,2--,2--,4-7-,--,--1,4--,--,--,2-3-,1-2-,--,1--,4-6-,--,-3-,41-67-3
Seven,--,--,--1,--1,--,--,--,--,--4,--,--,--,--,--,--2,--2,--,--,--,--,--,--,--,--1,--,--3,--,--,--,--,--,--,--,--,--,--,--14
Eight,2--1,2-3-,10-14-1,-2-,4-4-1,1-3-1,--,-1-,25--1,3-5-,1-1-,-1-,--,--,9-11-1,-2-1,-2-5,3-5-2,--,9-12-1,--,2-8-,1-4-,7-12-4,--,-2-3,1-5-,1-1-,-1-1,3-1-,2-2-1,--,1-2-,29-14-3,-1-,3-5-,119-124-27
Nine,--1,--,--7,--,--1,--2,--,--,--1,--,--,--,--,--,--5,--,--,--2,--,--2,--,--3,--2,--2,--,--5,--,--,--,--,--,--,--1,--7,--,--,--41
Ten,-4-1,7-7-1,14-17-1,--,4-3-1,2-1-,3-3-,-2-1,2-2-2,1-3-1,-1-,1-1-1,1-1-,2-1-,11-22-4,2-2-,5-3-,9-5-1,5-1-,11-32-4,4-3-1,10-13-1,1-2-,16-22-11,4-4-2,58-61-14,3-5-,--,2-2-2,4-9-5,1-2-1,4-3-2,1-2-,19-34-15,--,9-5-2,216-278-74
