Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--1,--,--,-1-,-1-,--,--,--,--,-3-1,--1,--,-1-1,--,1-3-,--,--,-1-,--,--,-2-,--,--,--,-1-,--,--,1-1-,--,--,--,2-14-4
One,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--2
Two,--,-1-1,-2-,--,--,-1-,--,-1-,-26-,-2-,--,--,--,-1-,1-3-,--,--,-2-,--,1-1-,--,--,-1-,1-6-,--,-1-,--,--,-1-,--,-2-,--,--,1-4-,--,1--,5-55-1
Three,--,--,--,--,--,--,--,--,--2,--,--,--,--1,--,--,--,--,--1,--,--1,--,--,--,--,--,--3,--,--,--,--,--,--,--,--,--,--,--8
Four,--,2-1-,8-6-1,--,--,--,--,--,25--,-1-,--,--,1--,--,6-10-,--,--,4-3-,--,3--,-1-,1--,1--2,5-9-,2-2-,-1-1,-1-,--,1--,2--,1--,--,--,6-11-,--,1-5-,69-51-4
Five,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--1,--1,--,--,--,--1,--,--,--,--3,--,--2,--,--,--,--,--,--,--,--1,--,--,--10
Six,1--,3-9-,6-5-1,-2-,2-1-,2-2-,--,-1-,2--2,2--,--,3-1-,-1-,--,4-6-1,-1-,1--,4-3-,-1-,9-22-1,3-4-1,4-4-,1--,7-8-,--,1-4-4,6-2-,--,1--,4-6-,1-2-,--,--,9-13-3,-1-,3-2-1,79-101-14
Seven,--1,--,--2,--1,--2,--,--,--,--1,--,--,--,--,--,--2,--2,--,--1,--,--1,--,--1,--1,--2,--,--2,--,--,--2,--,--1,--,--1,--2,--,--,--25
Eight,1-1-,4-1-,6-10-5,--,5-5-1,--1,--,-1-,--2,3-6-,--,-2-,--,2-1-,5-10-,1-3-,1-3-5,5-3-1,--,7-17-3,--,1-10-,2-3-,10-16-6,--,57-56-6,2-4-,-1-,-1-1,1-1-,1-1-1,4--,1-3-,33-13-5,--,4-5-1,156-177-38
Nine,--1,--,--1,--,--,--1,--,--,--2,--,--,--1,--,--,--6,--,--,--2,--,--,--,--3,--,--4,--,--5,--,--,--,--,--,--2,--,--4,--,--,--32
Ten,1-4-1,4-1-1,8-9-1,--,1-2-,1-2-,3-3-,--1,1-1-,-1-1,2-2-,-1-,-1-,--,7-7-1,1--1,3-2-,2-3-1,5-1-,3-7-1,1--,9-7-,-3-,6-8-4,2-2-2,--5,1-3-,1--,-1-,2-6-5,1-2-,-3-,1--,4-14-10,--,3-2-,73-98-35
