Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,-1-,--,--,--,--,--,--,--,--,--,--,--,-1-,--1,--,-1-,--,-1-,--,--,--,--,--,-1-,--,--,--,--,--,--,--,--,--,--,-5-1
Two,--,--,--,--,--,--,--,--,--,--,--,--,--,-1-,-2-,--,--,--,--,-1-,--,--,-1-,-1-,--,--,--,--,--,--,--,--,--,1--,--,--,1-6-
Three,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--1,--1,--,--,--,--,--,--,--,--,--,--,--,--,--3
Four,--,--,1--,--,--,-2-,--,-1-,--,-1-,--,--,--,--,2-2-,--,--,2-1-,--,--,--,-1-,1--,-3-,--,--,--,--,1--,--,--,--,--,1-3-,--,--,8-14-
Five,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--1,--,--2,--,--,--,--,--,--,--,--1,--,--,--5
Six,1-4-,3-2-,4-6-1,--,1--,2-1-,--,--,--,2-4-1,--,--,--,--,6-7-,--1,--,5-3-,--,3-4-,-1-,3-7-,1-6-,3-5-,--,-1-1,3-1-,1--,--,2-3-,1-2-,-3-,2-1-,4-8-,--,2-3-,49-72-4
Seven,--,--,--7,--1,--1,--2,--,--,--1,--,--,--,--,--,--2,--2,--,--,--,--1,--,--,--1,--3,--,--4,--,--,--1,--,--,--2,--1,--3,--,--,--32
Eight,1-1-1,5-5-1,5-6-2,-2-,3-5-,1-2-,--,-2-,2-26-4,1-3-1,1-1-,1-3-,1--,--,2-7-,-2-,3-4-5,4-5-4,2--,8-9-2,1--,2-5-,1--2,11-13-3,1-1-,2-3-4,3-6-,-1-,-1-,6-9-,3-1-1,--,1-1-,38-13-4,--,1-3-1,110-140-35
Nine,--1,--1,--1,--1,--,--1,--,--1,--1,--,--,--,--1,--,--2,--,--,--2,--,--2,--,--1,--,--2,--2,--7,--,--,--2,--,--,--,--,--4,--,--1,--33
Ten,1--1,5-6-,18-19-,--,4-3-2,--,3-3-,--,26-2-3,2-3-,1-1-,2-1-1,-2-,2-1-,13-20-7,2-2-1,2-1-,4-5-1,3-2-,13-35-2,3-4-1,10-8-3,1-1-,15-25-9,3-3-,56-59-10,3-3-,--,1-2-,1-2-5,-4-1,4--,-2-,9-31-13,-1-,9-8-,216-259-60
