Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,-1-1,2-3-,--1,--,-1-1,--,--,-1-,-2-,--,--,--,--,2-6-,--1,--1,1-3-,--1,1-1-,--,--,-1-,1-1-1,--1,-2-,1--,--,--,-1-,--,--,1-1-,1-2-,--,-3-,10-29-8
Two,--,1-2-,1--,--,1-1-,-2-,--,--,-26-,-1-,--,2--,--,-1-,2-8-,--,--,3-1-,--,1-2-,--,--,--,6-8-,--,-1-,-1-1,--,1--,2-1-,1-2-,--,--,3-5-,--,3-3-,27-65-1
Three,--,--,--,--,--,--,--,--,--,--2,--1,--,--,--,--,--1,--,--,--,--,--1,--,--,--1,--,--,--1,--,--,--,--,--,--,--,--,--,--7
Four,--,4-2-,7-10-1,--,1--,2--,--,--,27--,1-1-,--,-1-,1-1-,--1,-4-,--2,--,1-4-,--,4-4-,-2-,3-2-,2-2-,4-8-1,1--1,-1-,2--,--,--,1-2-,--,--,-1-,7-12-,--,1-2-,69-59-6
Five,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--1,--,--,--,--3,--,--5,--,--,--,--,--,--,--1,--2,--,--15
Six,2-1-,4-4-,16-16-5,--,2-2-,--,--,-2-,--,2-4-1,--,1--,--,2-1-,10-8-,1--1,1-2-,4-1-5,-1-,13-26-,1-1-,3-5-,1-2-,6-13-1,1-2-,58-60-,4-1-3,--,1-2-,2-2-,2-1-,--,--,23-12-,--7,3-3-1,163-172-24
Seven,--1,--1,--2,--,--1,--1,--,--,--,--2,--1,--,--,--,--,--3,--3,--,--1,--,--2,--,--1,--,--2,--,--6,--,--,--2,--,--1,--,--,--6,--,--36
Eight,--,1-3-,1-2-1,-2-,2-3-1,-2-1,--,-1-,--,1--1,--,-3-,-1-,--,3-9-,1-3-1,4-3-,5-6-,2--1,3-9-,3-2-3,-14-1,1-2-,7-10-,--5,--1,-4-5,-1-,--,3-2-1,1-3-,4--1,1-1-,17-14-,-1-3,3-1-,63-102-26
Nine,--2,--,--,--1,--,--,--,--,--1,--2,--,--,--1,--,--,--2,--,--,--3,--,--,--,--,--,--4,--1,--4,--,--,--,--,--,--,--,--3,--1,--25
Ten,1-4-,3-1-,1-1-1,--,2-2-1,1--,3-3-,--,1-1-,1-3-1,2-2-,--,--,--,6-4-,-1-1,--,1--,3-1-,2-8-,--1,9--,-1-3,5-7-,2-2-3,--,2-4-3,1--,-1-,1-6-,-1-5,-3-,1-1-2,2-10-,--4,2-2-,52-69-25
