Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1
Two,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--1
Three,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--,--,--,--,--,--,--1,--,--,--3
Four,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1
Five,--,--,--,--1,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--1,--2,--,--2,--,--,--,--,--,--,--,--,--,--,--7
Six,--,--1,--1,--,--,--1,--,--,--,--1,--,--,--,--,--1,--,--,--,--,--1,--,--,--1,--1,--,--2,--,--,--,--,--,--,--,--1,--,--,--11
Seven,--,--,--2,--,--1,--1,--,--,--1,--,--,--,--,--,--3,--,--,--,--,--1,--,--1,--1,--1,--,--2,--,--,--2,--,--1,--,--1,--4,--,--1,--23
Eight,--1,--,--5,--,--1,--1,--,--,--5,--,--,--1,--,--,--2,--1,--5,--1,--,--2,--1,--3,--1,--6,--,--5,--,--,--,--,--,--2,--,--6,--,--1,--50
Nine,--,--,--2,--1,--,--,--,--1,--3,--,--,--,--,--,--3,--2,--,--4,--,--,--,--,--,--4,--2,--6,--,--,--1,--,--1,--,--,--6,--,--,--36
Ten,--2,--1,--1,--,--1,--,--,--,--,--1,--,--,--,--,--3,--1,--,--2,--,--3,--,--,--,--4,--,--10,--,--,--,--5,--,--,--,--6,--,--,--40
