Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1
Two,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1
Three,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--,--,--,--,--,--,--1
Four,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--1,--,--,--,--,--,--,--,--,--,--,--2
Five,--,--1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--1,--,--2,--,--,--,--,--,--,--,--,--,--,--1,--,--,--6
Six,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--,--,--,--1,--,--,--,--,--,--2,--,--,--,--,--,--,--,--1,--,--1,--6
Seven,--,--,--2,--,--,--1,--,--,--,--1,--,--,--,--,--3,--,--,--,--,--1,--,--,--,--2,--,--4,--,--,--,--,--,--,--,--5,--,--,--19
Eight,--1,--1,--4,--,--2,--1,--,--,--5,--,--,--,--1,--,--1,--3,--,--,--,--1,--,--,--2,--7,--,--3,--,--,--1,--1,--2,--2,--,--7,--,--1,--46
Nine,--1,--,--3,--1,--1,--1,--,--1,--4,--,--,--,--,--,--5,--1,--5,--5,--,--3,--,--4,--,--4,--2,--10,--,--,--2,--,--,--,--,--8,--,--,--61
Ten,--1,--,--2,--,--,--,--,--,--,--1,--,--1,--,--,--2,--,--,--2,--,--1,--,--,--,--5,--,--7,--,--,--,--4,--,--,--1,--3,--,--,--30
