FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,ODS_Provider,Location,No_5th_Grade,No_6th_Grade,Number_Attending,Days,Days+Nights,Cost_Per_Student,Total_Request,Fall_5th_Grade,Fall_6th_Grade,Percent_5th,Percent_6th
0,-119.4874735,45.89655986,A C Houghton Elementary School,InterMountain,Morrow SD 1,Morrow,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,0,,,,,,,,,,,,,
1,-122.6511871,45.50557283,Abernethy Elementary School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41042,State House District 42,0,,,,,,,,,,,,,
2,-122.8361475,42.36280697,Abraham Lincoln Elementary,Southern OR,Medford SD 549C,Jackson,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41055,State House District 55,1,Oregon Museum of Science and Industry (OMSI),Coastal Discovery Center at Camp Gray,0,52,52,3,3-2,322.97,16794.44,81,63,0,83
3,-123.0619274,43.79862301,Academy for Character Education,Lane,South Lane SD 45J3,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,0,,,,,,,,,,,,,
4,-122.603606,45.53937499,Access Academy Alternative Program,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Arrah Wanna, Inc., Canby Grove Christian Center, Camp Howard, Camp Namanu, Camp Kuratli at Trestle Glen",0,45,45,6,6-5,556.28,25032.6,78,66,0,68
5,-123.2895614,44.55204002,Adams Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,41008,State Senate District 8,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41016,State House District 16,1,Oregon Museum of Science and Industry (OMSI),Coastal Discovery Center at Camp Gray,72,0,72,3,3-2,248.0107444,17856.7736,71,-,101,
6,-123.10809,44.03548252,Adams Elementary School,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,1,Whole Earth Nature School,Camp Lutherwood,81,0,81,3,3-2,199.08,16125.48,80,-,101,
7,-119.8982662,42.16813946,Adel Elementary School,Lake,Adel SD 21,Lake,41030,State Senate District 30,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41060,State House District 60,0,,,,,,,,,,,,,
8,-117.0704491,43.74156934,Adrian Elementary School,Malheur,Adrian SD 61,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,1,"Lake Creek Youth Recreational Camp, Inc.",Lake Creek Youth Recreational Camp Inc.,0,26,26,4,4-3,206.12,5359.12,31,28,0,93
9,-122.9808174,44.037291,Agnes Stewart Middle School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,0,,,,,,,,,,,,,
10,-116.9831,44.02852747,Aiken Elementary School,Malheur,Ontario SD 8C,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
11,-122.699955,45.50990698,Ainsworth Elementary School,Multnomah,Portland SD 1J,Multnomah,41018,State Senate District 18,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41036,State House District 36,0,,,,,,,,,,,,,
12,-116.9830518,44.01755044,Alameda Elementary School,Malheur,Ontario SD 8C,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,1,Twin Rocks Friends Camp,Twin Rocks Friends Camp,0,65,65,4,4-3,648.5406,42155.139,63,77,0,84
13,-122.637425,45.547568,Alameda Elementary School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,0,,,,,,,,,,,,,
14,-123.0939304,44.62321751,Albany Options School,Linn Benton Lincoln,Greater Albany Public SD 8J,Linn,41008,State Senate District 8,Charissa Jones,Central: Linn-Lincoln,https://extension.oregonstate.edu/people/charissa-jones,41015,State House District 15,0,,,,,,,,,,,,,
15,-122.8122294,45.41200803,Alberta Rider Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41018,State Senate District 18,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41035,State House District 35,0,,,,,,,,,,,,,
