FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,Lcontext_Soil,Lcontext_Timber,Lcontext_Nature,Lcontext_OR_NR,Lcontext_Student,Lcontent_STEM,Lcontent_Food,Lcontent_Sustainability,Lcontent_SocialStudies,Lcontent_Art,Lcontent_PhysEd,Lcontent_SocioEmotional,Lcontent_Careers,Lcontent_ORStudies,InsStrat_Multimodal,InsStrat_Collab,InsStrat_LearnerCntrd,InsStrat_Investigative,InsStrat_Reflective,InsStrat_Relevance,InsStrat_Interdisc,Support_HS,Support_Trained,Support_NR,Support_CommOrg,Instruction_HS,Instruction_Trained,Instruction_NR,Instruction_CommOrg,Underresource_Rural,Underresource_LowSES,Underresource_AIAN,Underresource_Asian,Underresource_PI,Underresource_Black,Underresource_Latinx,Underresource_MENA,Underresource_LGBTQ,,,
0,-119.4874735,45.89655986,A C Houghton Elementary School,InterMountain,Morrow SD 1,Morrow,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-122.6511871,45.50557283,Abernethy Elementary School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41042,State House District 42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-122.8361475,42.36280697,Abraham Lincoln Elementary,Southern OR,Medford SD 549C,Jackson,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41055,State House District 55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-123.0619274,43.79862301,Academy for Character Education,Lane,South Lane SD 45J3,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-122.603606,45.53937499,Access Academy Alternative Program,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-123.2895614,44.55204002,Adams Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,41008,State Senate District 8,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41016,State House District 16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-123.10809,44.03548252,Adams Elementary School,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-119.8982662,42.16813946,Adel Elementary School,Lake,Adel SD 21,Lake,41030,State Senate District 30,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41060,State House District 60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-117.0704491,43.74156934,Adrian Elementary School,Mulheur,Adrian SD 61,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,1,7,3,1,2,3,7,5,4,3,1,6,4,7,4,6,5,6,7,5,6,6,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,,,
9,-122.9808174,44.037291,Agnes Stewart Middle School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,1,10,10,10,10,10,8,10,10,8,6,7,5,9,3,6,8,8,9,7,7,6,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,,,
10,-116.9831,44.02852747,Aiken Elementary School,Mulheur,Ontario SD 8C,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-122.699955,45.50990698,Ainsworth Elementary School,Multnomah,Portland SD 1J,Multnomah,41018,State Senate District 18,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41036,State House District 36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-116.9830518,44.01755044,Alameda Elementary School,Mulheur,Ontario SD 8C,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
