Match_addr,X,Y,School_Nam,ESD,SD,County,School_Typ,School_T_1,ODE_Instit,Address,City_1,State,Site_Zipco,Site_Zip_1,Mail_Addre,Mail_City,Mail_State,Mail_Zipco,Mail_Zip_1,Phone_1,Phone_Fax,Email,Website,Participation2017,Participation2018,2017 Provider,Provider2018,2017 Grade,Grade 2018,2017 Students,Sudents 2018,2017 Days,Days 2018,Nights 2017,Nights 2018,2017 Actual Funds Per Student,2018 Actual Funds Per Student,2017 Total Funds,2018 Total Funds,Senate Districts,House Districts
"1105 S Main Ave, Irrigon, Oregon, 97844",-119.4874735,45.89655986,A C Houghton Elementary School,InterMountain,Morrow SD 1,Morrow,Elementary,Regular School,813,1105 N Main Ave,Irrigon,OR,97844,7050,1105 N Main Ave,Irrigon,OR,97844,7050,541-922-3321,541-922-2375,tracey.johnson@morrow.k12.or.us,http://ach.morrow.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 29,State House District 57
"1200 Main St, Arlington, Oregon, 97812",-120.2005324,45.71254733,Arlington Elementary School,North Central,Arlington SD 3,Gilliam,Combined,Supplemental Virtual,323,1200 Main St,Arlington,OR,97812,0,PO Box 10,Arlington,OR,97812,10,541-454-2632,541-454-2137,khunking@arlington.k12.or.us,http://www.honkernet.net,1,Yes,Tupper Ranger Station, ,6th,6th,14,14,5,5,4,4,218,218,3052,3052,State Senate District 29,State House District 57
"1497 SW 9th St, Hermiston, Oregon, 97838",-119.3057726,45.82678387,Armand Larive Middle School,InterMountain,Hermiston SD 8,Umatilla,Middle,Supplemental Virtual,1039,1497 SW 9th St,Hermiston,OR,97838,1888,1497 SW 9th St,Hermiston,OR,97838,1888,541-667-6200,541-667-6250,stacie.roberts@hermiston.k12.or.us,http://alms.hermiston.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 29,State House District 57
"306 SW 2nd Ave, Milton Freewater, Oregon, 97862",-118.3915396,45.93307751,Central Middle School,InterMountain,Milton-Freewater Unified SD 7,Umatilla,Middle,Regular School,1057,306 SW 2nd Ave,Milton-Freewater,OR,97862,1395,306 SW 2nd Ave,Milton-Freewater,OR,97862,1395,541-938-5504,541-938-6615,tim.sprenger@miltfree.k12.or.us,http://cms.miltfree.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 29,State House District 57
"1300 7th St, Umatilla, Oregon, 97882",-119.3372784,45.91736686,Clara Brownell Middle School,InterMountain,Umatilla SD 6R,Umatilla,Middle,Focus Virtual,1031,1300 7th St,Umatilla,OR,97882,0,1300 7th St,Umatilla,OR,97882,0,541-922-6625,541-922-6507,durantl@umatillasd.org,http://cbms.umatilla.k12.or.us/,1,Yes,IMESD, ,6th,6th,74,99,3,4,2,3,182.96,160.67,13539.04,15906.33,State Senate District 29,State House District 57
"220 S East St, Condon, Oregon, 97823",-120.182681,45.23603999,Condon Elementary School,North Central,Condon SD 25J,Gilliam,Elementary,Regular School,325,220 S East St,Condon,OR,97823,0,210 E Bayard St,Condon,OR,97823,615,541-384-2581,541-384-2585,mgeer@condon.k12.or.us,http://www.condon.k12.or.us,1,Yes,Tupper Work Center, ,6th,6th,10,12,5,5,4,4,235.85,285.7,2358.5,3428.4,State Senate District 29,State House District 57
"1225 SW 9th St, Hermiston, Oregon, 97838",-119.3057906,45.83012976,Desert View Elementary School,InterMountain,Hermiston SD 8,Umatilla,Elementary,Supplemental Virtual,3426,1225 SW 9th,Hermiston,OR,97838,2147,1225 SW 9th,Hermiston,OR,97838,2147,541-667-6900,541-667-6950,michael.roberts@hermiston.k12.or.us,http://dves.hermiston.k12.or.us,0,Yes, , , ,5th,0,98,0,6,0,5,0,68.32,0,6695.36,State Senate District 29,State House District 57
"802 NE 5th St, Dufur, Oregon, 97021",-121.1247503,45.45491746,Dufur School,Columbia Gorge,Dufur SD 29,Wasco,Combined,Supplemental Virtual,3402,802 NE 5th St,Dufur,OR,97021,3034,802 NE 5th St,Dufur,OR,97021,3034,541-467-2509,541-467-2589,lbaptiste@dufur.k12.or.us,http://www.dufur.k12.or.us,0,Yes, ,Cascade Mountain School, ,5th,0,19,0,3,0,0,0,495.96,0,9423.24,State Senate District 29,State House District 57
"53445 W Ferndale Rd, Milton Freewater, Oregon, 97862",-118.4013963,45.98041299,Ferndale Elementary School,InterMountain,Milton-Freewater Unified SD 7,Umatilla,Elementary,Regular School,5297,53445 W Ferndale Rd,Milton-Freewater,OR,97862,7430,53445 W Ferndale Rd,Milton-Freewater,OR,97862,7430,541-938-5412,541-938-0503,stacey.warne@miltfree.k12.or.us,http://fdes.miltfree.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 29,State House District 57
"17 NW 8th Ave, Milton Freewater, Oregon, 97862",-118.39869,45.9438625,Freewater Elementary School,InterMountain,Milton-Freewater Unified SD 7,Umatilla,Elementary,Regular School,5296,17 NW 8th Ave,Milton-Freewater,OR,97862,1998,17 NW 8th Ave,Milton-Freewater,OR,97862,1998,541-938-6611,541-938-5337,aaron.duff@miltfree.k12.or.us,http://fwes.miltfree.k12.or.us/,1,Yes,Buck Creek, ,5th,5th,134,140,3,3,2,2,126.29,163.5,16922.86,22890,State Senate District 29,State House District 57
