FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,participation,ODS_Provider,Location,No 5th Grade,No 6th Grade,Number_Attending,Days,Days+Nights,Cost Per Student,Total Request,Fall 5th Grad,Fall 6th Grade,Percent 5th,Percent 6th
0,-119.4874735,45.89655986,A C Houghton Elementary School,InterMountain,Morrow SD 1,Morrow,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,,No,,,,,,,,,,0,0,,
1,-122.6511871,45.50557283,Abernethy Elementary School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41042,State House District 42,,No,,,,,,,,,,81,0,,
2,-122.8361475,42.36280697,Abraham Lincoln Elementary,Southern OR,Medford SD 549C,Jackson,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41055,State House District 55,1,Yes,OMSI Camp Gray,Newport,0,65,65,3,2-Mar,244.22,15874.3,79,59,0,110.1694915
3,-123.0619274,43.79862301,Academy for Character Education,Lane,South Lane SD 45J3,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,,No,,,,,,,,,,16,17,,
4,-122.603606,45.53937499,Access Academy Alternative Program,Multnomah,Portland SD,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,1,Yes,US,"Angelos/SR, Arrah Wanna",0,49,49,6,5-Jun,486.04,23815.96,67,62,0,79.03225806
5,-123.2895614,44.55204002,Adams Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,41008,State Senate District 8,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41016,State House District 16,1,Yes,OMSI,Camp Grey,83,0,83,3,2-Mar,227.36,18870.88,82,0,101.2195122,#DIV/0!
6,-123.10809,44.03548252,Adams Elementary School,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,,No,,,,,,,,,,80,0,,
7,-119.8982662,42.16813946,Adel Elementary School,Lake,Adel SD 21,Lake,41030,State Senate District 30,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41060,State House District 60,,No,,,,,,,,,,2,3,,
8,-117.0704491,43.74156934,Adrian Elementary School,Mulheur,Adrian SD 61,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,1,Yes,McCall Outdoor Science School ,"McCall, Idaho",0,24,24,5,4-May,235.46,5651.04,26,26,0,92.30769231
9,-122.9808174,44.037291,Agnes Stewart Middle School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,1,Yes,UNSURE,Sky Camp,0,190,190,3,2-Mar,20.73,3938.7,0,192,#DIV/0!,98.95833333
