geo,par2017,par2018,par2019,joinID
Adel SD 21,,,,ADEL SD 21
Adrian SD 61,0.923076923,0.928571429,1.384615385,ADRIAN SD 61
Alsea SD 7J,1,1.363636364,,ALSEA SD 7J
Amity SD 4J,0.913580247,0.8875,,AMITY SD 4J
Annex SD 29,,,2.25,ANNEX SD 29
Arlington SD 3,1,0.823529412,,ARLINGTON SD 3
Arock SD 81,,,,AROCK SD 81
Ashland SD 5,0.959276018,0.932126697,0.946619417,ASHLAND SD 5
Ashwood SD 8,,,,ASHWOOD SD 8
Astoria SD 1,,,0.958941959,
Athena-Weston SD 29RJ,0.962264151,1.02173913,,
Baker SD 5J,0.479809976,0.503571429,0.417457355,BAKER SD 5J
Bandon SD 54,,,,BANDON SD 54
Banks SD 13,1,0.977272727,,BANKS SD 13
Beaverton SD 48J,0.865410498,0.893044822,0.929389313,BEAVERTON SD 48J
Bend-LaPine Administrative SD 1,0.925188744,0.845199216,1.123232854,
Bethel SD 52,0.985611511,0.966292135,,BETHEL SD 52
Blachly SD 90,1.055555556,0.465116279,,BLACHLY SD 90
Black Butte SD 41,,0.818181818,,BLACK BUTTE SD 41
Brookings-Harbor SD 17C,,1.081081081,,
Burnt River SD 30J,,,,BURNT RIVER SD 30J
Butte Falls SD 91,,0.942857143,,BUTTE FALLS SD 91
Camas Valley SD 21J,,,0.731773177,
Canby SD 86,0.901685393,0.938888889,,CANBY SD 86
Cascade SD 5,0.886597938,0.956284153,0.884444444,CASCADE SD 5
Centennial SD 28J,,0.831858407,0.862222222,CENTENNIAL SD 28J
Central Curry SD 1,,0.828571429,,CENTRAL CURRY SD 1
Central Linn SD 552,0.979166667,1,,CENTRAL LINN SD 552
Central Point SD 6,0.959183673,0.148148148,,CENTRAL POINT SD 6
Central SD 13J,,,,CENTRAL SD 13J
Clatskanie SD 6J,0.901960784,1,0.894736842,CLATSKANIE SD 6J
Colton SD 53,,,0.833333333,COLTON SD 53
Condon SD 25J,1.111111111,1,,CONDON SD 25J
Coos Bay SD 9,0.974025974,0.959641256,0.964268456,COOS BAY SD 9
Coquille SD 8,,,,COQUILLE SD 8
Corbett SD 39,0.909090909,0.851239669,,CORBETT SD 39
Corvallis SD 509J,0.939449541,0.888324873,0.966116949,CORVALLIS SD 509J
Cove SD 15,0.88,1,0.923769238,COVE SD 15
Creswell SD 40,0.875,0.897959184,,CRESWELL SD 40
Crook County SD,0.87394958,0.923728814,,
Crow-Applegate-Lorane SD 66,,,,CROW-APPLEGATE-LORANE SD 66
Culver SD 4,0.836065574,0.982142857,,CULVER SD 4
Dallas SD 2,0.845188285,0.645614035,,DALLAS SD 2
David Douglas SD 40,0.832735962,0.837902265,0.828729282,DAVID DOUGLAS SD 40
Days Creek SD,,,0.76,
Dayton SD 8,0.959459459,0.828947368,0.942528736,DAYTON SD 8
Dayville SD 16J,,0.833333333,,DAYVILLE SD 16J
Diamond SD 7,,,,DIAMOND SD 7
Double O SD 28,,,,DOUBLE O SD 28
Douglas County SD 4,1,0.979020979,,
Drewsey SD 13,,,,DREWSEY SD 13
Dufur SD 29,,0.37254902,,DUFUR SD 29
EAGLE Charter School SD,,0.565217391,,
Eagle Point SD 9,0.853046595,0.785915493,,EAGLE POINT SD 9
Echo SD 5,1,1.136363636,,ECHO SD 5
Elgin SD 23,,0.910447761,,ELGIN SD 23
Elkton SD 34,1,1,,ELKTON SD 34
Enterprise SD 21,0.841269841,0.507936508,1,ENTERPRISE SD 21
Estacada SD 108,0.949275362,0.88372093,0.773496454,ESTACADA SD 108
Eugene SD 4J,0.975675676,0.948070175,0.989523895,EUGENE SD 4J
Falls City SD 57,1.230769231,0.740740741,,FALLS CITY SD 57
Fern Ridge SD 28J,0.944,0.835820896,,FERN RIDGE SD 28J
Forest Grove SD 15,0.90797546,0.907488987,1,FOREST GROVE SD 15
Fossil SD 21J,,,,FOSSIL SD 21J
Four Corners Community School SD,0.666666667,1,0.966666667,
Frenchglen SD 16,,,,
Gaston SD 511J,0.977272727,0.974358974,0.959183673,GASTON SD 511J
Gervais SD 1,,,,GERVAIS SD 1
Gladstone SD 115,0.855172414,0.950549451,0.949367887,GLADSTONE SD 115
Glendale SD 77,0.814814815,,,GLENDALE SD 77
Glide SD 12,0.833333333,0.838709677,,GLIDE SD 12
Grants Pass SD 7,0.652173913,0.817021277,,GRANTS PASS SD 7
Greater Albany Public SD 8J,0.756613757,0.885897436,,
Gresham-Barlow SD 10J,0.827968923,0.929805616,0.895216491,GRESHAM-BARLOW SD 10J
Harney County SD 3,0.831168831,0.830985915,1,HARNEY COUNTY SD 3
Harney County SD 4,,1.037037037,,
Harney County Union High SD 1J,,,,
Harper SD 66,0.75,0.636363636,,HARPER SD 66
Harrisburg SD 7J,,0.634920635,,HARRISBURG SD 7J
Helix SD 1,1,1,,HELIX SD 1
Hermiston SD 8,,0.98340249,0.997792494,HERMISTON SD 8
Hillsboro SD 1J,0.476864967,0.937926754,0.466625843,HILLSBORO SD 1J
Hood River County SD,0.823880597,0.894736842,,
Huntington SD 16J,,,,HUNTINGTON SD 16J
Imbler SD 11,0.966666667,1,0.956521739,IMBLER SD 11
Ione SD R2,1.090909091,0.9375,,
