house_geo,perPar1920
41001,0.28358209
41002,0.404326123
41003,0.512330947
41004,0.3
41005,0.383660807
41006,0.914814815
41007,0
41008,0.073030109
41009,0.430039526
41010,0.097087379
41011,0.928817451
41012,0.389417989
41013,0.34688878
41014,0.549062845
41015,0.350665054
41016,0.631669535
41017,0.064480267
41018,1.566318927
41019,0.894647887
41020,0.412680115
41021,0.292562999
41022,0.698974837
41023,0.294768996
41024,0.911196911
41025,0.605316973
41026,0.660714286
41027,0.554814109
41028,0.286754665
41029,0.617069831
41030,0.682740145
