geoIDSenate,perPar
41001,0.778467909
41002,0.692154255
41003,0.546759639
41004,0.770700637
41005,0.571059432
41006,0.811541271
41007,0.822839506
41008,0.818580834
41009,0.676050045
41010,0.942386831
41011,0.920763023
41012,0.721717172
41013,0.852015461
41014,0.732570806
41015,0.469463294
41016,0.537277537
41017,0.857723577
41018,0.802641233
41019,0.898410897
41020,0.745679012
41021,0.771237458
41022,0.635170604
41023,0.681449893
41024,0.596754057
41025,0.726570546
41026,0.867352463
41027,0.827123696
41028,0.561395127
41029,0.734795201
41030,0.529355149
